expires_at,available,id,username,cusername,handle,display_name,created_at,channel_type,country_code,country,avatar,Banner,website,Facebook,twitch,twitter,Instagram,linkedin,discord,tik tok,uploads,subscribers,totalviews,growthsubs1,growthsubs3,growthsubs7,growthsubs14,growthsubs30,growthsubs60,growthsubs90,growthsubs180,growthsubs365,growthviews1,growthviews3,growthviews7,growthviews14,growthviews30,growthviews60,growthviews90,growthviews180,growthviews365,grade,sb_verified,made_for_kids,sbrank,rankedsubscribers,rankedviews,rankcountry
01/08/2023 22:21:03 EST,511,UCObRVBnzSyUMY7iST8RDJzw,ObRVBnzSyUMY7iST8RDJzw,bookidstoys,@bookidstoys9217,Boo Kids & Toys,42457,people,ES,Spain,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,134,3900000,981050028,0,0,0,-10000,-10000,-10000,-20000,1267967,3539552,831,2672,7284,14528,31837,66550,110672,169632729,902891311,B-,FALSE,FALSE,750074,905,9551,146
01/08/2023 22:21:06 EST,510,UCvrhwpnp2DHYQ1CbXby9ypQ,STARVIJAY,vijaytelevision,@vijaytelevision,Vijay Television,39114,entertainment,IN,India,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,34232,18200000,22604264292,0,100000,100000,200000,300000,600000,800000,1300000,2500000,60824645,112939215,191344403,472586086,796269257,1749984619,2219723360,3653877649,7016522781,A+,FALSE,FALSE,23,215,70,70
01/08/2023 22:21:09 EST,509,UCvmELENC4XOJCzxU0oPqPtg,vmELENC4XOJCzxU0oPqPtg,sashaskazala,@sashaskazala,Sasha Skazala,44294,entertainment,US,United States,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1359,2890000,3512915402,10000,10000,20000,40000,60000,110000,160000,440000,1880000,4317059,16088410,36824403,66093931,96339829,191486153,314107902,761756031,2549393638,A-,FALSE,FALSE,2649,1008,1852,767
01/08/2023 22:21:11 EST,508,UCJ5v_MCY6GNUBTO8-D3XoAg,wwefannation,wwe,@wwe,WWE,39213,sports,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,65487,92200000,72816050168,0,0,100000,200000,500000,900000,1400000,3400000,8200000,15715566,64293624,106174939,224266989,495191049,989266456,1548877159,3643432972,8299423529,A,FALSE,FALSE,161,11,7,5
01/08/2023 22:21:12 EST,507,UC3339WgBDKIcxTfywuSmG8w,3339WgBDKIcxTfywuSmG8w,viralhog,@viralhog,ViralHog,41873,people,US,United States,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,36161,7710000,11047561382,20000,60000,130000,250000,560000,1130000,1720000,3340000,5520000,0,48895334,139688008,275856892,598630146,1313279402,2124347890,4544076888,8041625107,A,TRUE,FALSE,109,524,305,326
01/08/2023 22:21:14 EST,506,UCVRqK0tS3B8pVog1HwCR4pg,VRqK0tS3B8pVog1HwCR4pg,,@tuzelityofficial,tuzelity SHUFFLE,42303,people,RU,Russian Federation,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,758,13000000,5740071362,0,100000,200000,300000,700000,1700000,2700000,5670000,9460000,19699212,37539890,62658445,164677172,375887032,756078015,1165016314,2514021748,4177923554,A,FALSE,FALSE,267,267,900,10
01/08/2023 22:21:17 EST,505,UC1psboQLDVCEOD46RNPZdgg,1psboQLDVCEOD46RNPZdgg,boomerangvn,@boomerangvn,Boomerang Vietnam,42440,entertainment,VN,Vietnam,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1142,1620000,991372123,0,0,0,0,0,0,10000,30000,60000,0,226289,768541,1520352,2871340,8572061,19913986,43403845,-75655496,B,FALSE,TRUE,120272,1139,9442,209
01/08/2023 22:21:18 EST,504,UCJQsW7LeVEIDCEJU47NmXBA,JQsW7LeVEIDCEJU47NmXBA,,@themccartyfam,The McCartys,41463,entertainment,US,United States,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1686,5530000,9092737132,10000,40000,100000,190000,400000,760000,1090000,2100000,4450000,58935479,108522015,186561633,362056834,759025801,1430912468,2070821047,3669294836,7413958384,A,FALSE,FALSE,73,743,421,510
01/08/2023 22:21:20 EST,503,UCXFiEPF6nVY8xH86e5FpTIw,XFiEPF6nVY8xH86e5FpTIw,tech10co,@tech10co,Tech10,44470,news,SA,Saudi Arabia,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,351000,226514700,0,0,0,0,-1000,-2000,-3000,-1000,,0,-3919,-1669,38360,39042,139870,148310,-82676364,,B-,FALSE,FALSE,746323,1896,47308,664
01/08/2023 22:21:21 EST,502,UCwPTC2n6D8asyi1G5uBZlpw,vicentefernandez,,@vicentefernandez,vicentefernandez®,38907,music,MX,Mexico,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,121,6310000,6920029232,0,0,10000,30000,70000,160000,260000,530000,1590000,7556932,11368536,31463629,61738658,135896653,290194984,449803889,875911581,2048131898,A-,FALSE,FALSE,1505,658,666,96
